machine_type,baseRate,season,booking_time,duration_hours,discount,gst,demand_index,available,finalPrice
Plough,1402.6,Off-Season,Evening,5,1.47,18.0,0.99,True,929.84
Harvester,3738.56,Off-Season,Morning,3,9.75,18.0,0.55,False,785.56
Drone,4848.01,Off-Season,Afternoon,5,5.62,18.0,1.13,True,3039.37
Plough,1606.95,Off-Season,Morning,2,10.26,18.0,1.12,False,455.71
Harvester,4355.4,Growing,Evening,5,8.79,18.0,1.44,True,4852.64
Tractor,1955.27,Off-Season,Morning,5,1.93,18.0,1.31,True,1780.15
Plough,1537.78,Off-Season,Morning,2,14.42,18.0,1.41,True,523.79
Tractor,1827.74,Growing,Afternoon,4,5.66,18.0,0.54,True,548.31
Tractor,1934.62,Off-Season,Evening,3,4.78,18.0,1.34,True,1008.52
Plough,1594.34,Harvest,Night,2,7.44,18.0,1.19,True,607.59
Drone,4892.98,Off-Season,Evening,5,11.03,18.0,1.3,True,3850.27
Plough,1403.23,Off-Season,Morning,2,8.53,18.0,1.08,True,391.11
Plough,1388.31,Growing,Afternoon,2,11.65,18.0,0.84,False,304.25
Drone,4822.57,Planting,Morning,2,10.2,18.0,1.24,True,2090.99
Tractor,1951.09,Planting,Night,2,7.58,18.0,1.33,True,698.55
Plough,1618.66,Growing,Afternoon,2,0.8,18.0,1.46,True,690.87
Drone,4369.41,Off-Season,Morning,5,14.25,18.0,1.45,True,3848.01
Plough,1539.55,Growing,Night,2,1.38,18.0,1.1,True,444.43
Plough,1413.82,Growing,Morning,2,11.87,18.0,1.29,True,568.81
Plough,1498.33,Off-Season,Night,4,14.94,18.0,0.56,True,300.95
Plough,1513.77,Growing,Afternoon,4,1.76,18.0,0.64,True,564.19
Plough,1535.47,Off-Season,Evening,2,12.58,18.0,0.93,True,337.39
Tractor,1958.66,Planting,Evening,4,10.59,18.0,0.58,True,759.81
Harvester,4389.31,Off-Season,Afternoon,5,12.95,18.0,1.38,True,3111.89
Drone,4866.92,Growing,Afternoon,2,11.3,18.0,0.88,True,1115.91
Drone,4749.43,Growing,Evening,3,10.58,18.0,0.75,True,1618.18
Tractor,1973.78,Harvest,Afternoon,2,0.17,18.0,0.97,True,731.97
Plough,1385.65,Off-Season,Afternoon,2,12.34,18.0,1.24,True,356.66
Plough,1421.25,Planting,Morning,2,5.62,18.0,0.79,True,410.39
Drone,4251.24,Growing,Morning,3,12.03,18.0,1.48,True,2934.82
Drone,4340.42,Harvest,Evening,5,7.92,18.0,1.49,True,6579.16
Plough,1516.16,Off-Season,Evening,5,1.13,18.0,0.67,True,677.59
Drone,4315.04,Off-Season,Morning,2,9.41,18.0,1.08,False,1200.32
Plough,1363.63,Planting,Night,5,14.38,18.0,0.56,True,475.55
Plough,1382.03,Harvest,Afternoon,2,4.16,18.0,0.69,True,349.53
Drone,4368.02,Planting,Morning,3,3.99,18.0,0.86,True,2107.49
Drone,4457.92,Planting,Afternoon,4,8.04,18.0,0.81,True,2153.78
Drone,4666.26,Off-Season,Morning,2,2.0,18.0,0.58,False,746.23
Plough,1474.99,Growing,Afternoon,2,9.2,18.0,0.92,False,362.78
Plough,1609.82,Growing,Afternoon,2,2.47,18.0,0.91,True,422.05
Harvester,3984.3,Off-Season,Night,4,2.26,18.0,1.09,True,1810.07
Harvester,4375.93,Planting,Night,4,8.54,18.0,0.56,True,1317.38
Plough,1390.16,Growing,Evening,2,0.85,18.0,1.36,True,638.17
Plough,1649.92,Growing,Evening,3,13.7,18.0,1.09,True,786.3
Drone,4731.37,Off-Season,Morning,4,3.71,18.0,0.95,True,2452.8
Drone,4908.65,Harvest,Morning,2,3.11,18.0,1.38,True,3016.57
Tractor,1818.76,Harvest,Evening,4,1.7,18.0,1.17,True,1847.47
Plough,1581.7,Growing,Evening,4,4.62,18.0,1.32,False,1347.5
Tractor,1835.36,Planting,Evening,4,6.05,18.0,0.63,True,815.93
Plough,1576.54,Off-Season,Morning,2,9.59,18.0,1.31,False,526.79
Harvester,4093.81,Planting,Evening,3,5.26,18.0,1.09,True,2366.27
Drone,4443.73,Off-Season,Afternoon,4,10.9,18.0,1.05,True,1957.58
Plough,1623.14,Off-Season,Night,3,9.33,18.0,1.36,False,638.78
Harvester,3717.66,Growing,Night,5,12.63,18.0,1.27,True,2735.67
Plough,1363.76,Planting,Night,3,7.39,18.0,0.83,True,458.53
Harvester,3792.12,Planting,Evening,4,8.06,18.0,0.96,True,2498.38
Tractor,1960.12,Off-Season,Evening,5,9.61,18.0,0.68,True,819.68
Plough,1619.04,Off-Season,Evening,4,7.73,18.0,1.47,True,1194.54
Harvester,3779.08,Growing,Morning,2,2.53,18.0,0.78,True,1015.2
Harvester,3670.96,Growing,Evening,2,8.02,18.0,0.86,True,980.57
Drone,4165.87,Off-Season,Evening,3,10.36,18.0,0.54,True,819.92
Harvester,4102.32,Planting,Morning,4,7.67,18.0,0.66,True,1937.88
Harvester,3602.08,Growing,Afternoon,5,12.09,18.0,1.25,True,2915.03
Harvester,3767.48,Growing,Morning,4,13.86,18.0,0.74,True,1691.35
Harvester,4025.01,Off-Season,Afternoon,3,11.21,18.0,0.54,True,678.96
Tractor,2085.34,Growing,Morning,4,12.67,18.0,1.25,True,1611.27
Plough,1610.16,Off-Season,Morning,3,7.99,18.0,0.74,True,467.27
Harvester,3901.83,Planting,Morning,3,8.46,18.0,1.34,True,2797.07
Drone,4531.8,Off-Season,Evening,2,13.36,18.0,1.09,True,1165.37
Drone,4760.25,Harvest,Morning,2,7.19,18.0,1.08,True,2204.26
Plough,1517.32,Planting,Afternoon,5,6.47,18.0,0.63,True,722.49
Tractor,1945.23,Harvest,Night,3,9.11,18.0,0.74,True,681.32
Drone,4347.31,Off-Season,Afternoon,2,3.56,18.0,0.6,True,595.44
Plough,1423.79,Planting,Morning,5,12.76,18.0,0.59,True,710.85
Tractor,1822.26,Harvest,Evening,2,1.2,18.0,1.02,True,813.45
Plough,1644.71,Growing,Morning,4,13.45,18.0,1.08,False,1084.44
Drone,4054.77,Harvest,Morning,3,3.87,18.0,0.67,True,1805.18
Tractor,2171.75,Growing,Morning,4,8.03,18.0,0.98,True,1381.13
Tractor,1882.03,Off-Season,Afternoon,3,4.86,18.0,0.93,True,586.63
Drone,4268.17,Off-Season,Morning,4,10.61,18.0,1.27,True,2739.71
Tractor,2002.44,Harvest,Night,4,7.22,18.0,1.03,True,1324.32
Plough,1450.98,Off-Season,Evening,3,8.23,18.0,1.05,True,568.61
Plough,1555.37,Planting,Night,5,3.82,18.0,1.18,True,1290.48
Plough,1528.69,Harvest,Evening,5,9.09,18.0,1.29,True,1983.17
Tractor,2140.29,Growing,Evening,5,14.48,18.0,0.62,True,969.2
Harvester,4350.67,Off-Season,Afternoon,5,5.69,18.0,1.43,True,3453.26
Harvester,3638.48,Off-Season,Afternoon,2,2.1,18.0,1.3,True,1088.9
Drone,4197.29,Growing,Night,2,2.8,18.0,0.74,True,796.92
Drone,4867.08,Harvest,Afternoon,2,13.16,18.0,0.89,True,1446.59
Drone,4445.22,Growing,Afternoon,3,13.5,18.0,1.12,True,1912.73
Tractor,1975.5,Harvest,Night,2,3.48,18.0,1.4,True,921.05
Harvester,4034.84,Growing,Afternoon,5,3.44,18.0,1.04,True,2996.6
Tractor,1933.13,Growing,Night,4,5.02,18.0,0.64,True,623.24
Drone,4608.07,Growing,Afternoon,5,11.12,18.0,1.07,False,3241.43
Drone,4727.16,Planting,Evening,2,3.73,18.0,1.24,True,2112.6
Tractor,2027.96,Harvest,Morning,3,7.41,18.0,1.25,True,1626.22
Harvester,4029.19,Planting,Night,4,12.7,18.0,0.63,True,1289.26
Drone,4767.57,Off-Season,Night,2,7.3,18.0,0.91,True,853.29
Harvester,3609.76,Off-Season,Morning,4,10.41,18.0,1.04,True,1910.01
Drone,4361.13,Planting,Afternoon,4,14.39,18.0,0.84,True,2041.6
Plough,1477.08,Harvest,Evening,3,14.21,18.0,0.65,True,547.7
Tractor,2002.36,Planting,Evening,2,3.84,18.0,1.23,True,880.99
Drone,4141.99,Off-Season,Evening,5,10.45,18.0,1.42,True,3579.96
Harvester,3722.03,Harvest,Afternoon,5,5.62,18.0,0.57,True,1916.17
Tractor,1841.7,Planting,Morning,2,13.88,18.0,0.95,True,587.23
Plough,1645.45,Off-Season,Evening,3,2.79,18.0,1.34,True,870.9
Tractor,1924.58,Harvest,Afternoon,4,8.87,18.0,0.9,True,1209.36
Drone,4351.68,Growing,Morning,5,11.82,18.0,1.1,True,3748.39
Drone,4423.05,Off-Season,Evening,3,13.8,18.0,0.85,True,1313.68
Plough,1571.25,Growing,Morning,2,8.81,18.0,0.53,False,270.28
Drone,4273.4,Off-Season,Evening,2,7.48,18.0,0.92,False,986.1
Drone,4376.15,Growing,Night,4,4.16,18.0,0.72,True,1603.64
Tractor,2006.07,Growing,Morning,2,14.42,18.0,0.65,True,394.24
Harvester,3668.28,Planting,Night,2,2.77,18.0,0.8,True,832.92
Drone,4407.59,Harvest,Morning,4,3.15,18.0,1.4,True,5492.97
Plough,1407.21,Harvest,Morning,2,5.67,18.0,1.34,True,816.51
Drone,4314.64,Growing,Afternoon,4,6.8,18.0,1.02,True,2430.42
Plough,1470.23,Off-Season,Morning,3,11.48,18.0,0.6,True,333.36
Drone,4117.95,Harvest,Morning,4,5.6,18.0,0.77,True,2757.67
Drone,4417.86,Planting,Morning,4,14.68,18.0,1.34,True,3932.83
Tractor,1963.19,Harvest,Evening,2,3.33,18.0,0.73,True,611.9
Tractor,1807.88,Growing,Night,3,5.09,18.0,1.07,True,730.8
Drone,4551.05,Harvest,Morning,5,1.49,18.0,0.74,True,3833.19
Tractor,2142.28,Off-Season,Evening,4,14.44,18.0,1.44,True,1437.07
Drone,4415.75,Growing,Night,4,13.45,18.0,0.51,True,1041.14
Tractor,1883.15,Harvest,Evening,4,1.84,18.0,1.38,True,2244.22
Drone,4683.55,Planting,Morning,2,12.26,18.0,0.84,True,1347.03
Tractor,1951.88,Growing,Morning,4,0.51,18.0,1.33,True,1829.43
Harvester,4219.07,Growing,Afternoon,2,6.54,18.0,0.79,False,924.12
Harvester,4210.88,Growing,Afternoon,5,1.71,18.0,1.07,False,3253.08
Harvester,3976.85,Harvest,Night,5,6.38,18.0,0.52,True,1678.51
Drone,4537.47,Planting,Afternoon,2,6.04,18.0,0.72,True,993.39
Tractor,1968.68,Harvest,Afternoon,3,7.89,18.0,0.67,True,700.68
Harvester,3614.71,Planting,Night,3,7.94,18.0,1.32,True,1916.96
Tractor,1826.87,Growing,Morning,2,9.77,18.0,1.33,True,775.93
Plough,1353.3,Planting,Evening,2,3.96,18.0,0.77,True,371.78
Harvester,3800.58,Planting,Afternoon,2,9.98,18.0,0.68,False,749.84
Harvester,3935.02,Off-Season,Afternoon,5,11.56,18.0,0.92,True,1893.12
Tractor,2183.45,Off-Season,Morning,2,1.24,18.0,1.1,True,673.67
Harvester,3911.44,Growing,Afternoon,5,6.56,18.0,1.42,True,3815.53
Plough,1533.12,Off-Season,Evening,3,7.14,18.0,1.16,False,674.42
Plough,1569.77,Growing,Evening,2,4.05,18.0,1.04,True,531.34
Drone,4807.38,Growing,Night,2,7.45,18.0,1.1,True,1295.73
Tractor,2108.36,Harvest,Night,2,5.17,18.0,0.85,True,587.66
Tractor,2081.97,Growing,Morning,5,6.52,18.0,0.75,True,1285.58
Plough,1589.82,Harvest,Evening,5,14.52,18.0,0.51,True,757.09
Tractor,1925.84,Growing,Afternoon,4,13.76,18.0,0.64,False,624.02
Tractor,1978.4,Harvest,Evening,4,1.3,18.0,1.46,True,2511.49
Tractor,2055.58,Off-Season,Night,2,9.88,18.0,1.19,True,469.11
Plough,1424.9,Growing,Evening,2,9.7,18.0,1.19,True,520.83
Plough,1550.98,Growing,Evening,5,10.58,18.0,1.43,True,1676.38
Plough,1520.38,Planting,Night,3,4.69,18.0,0.62,True,393.9
Drone,4223.34,Planting,Evening,5,14.57,18.0,1.44,True,4861.69
Tractor,2144.82,Planting,Morning,4,6.83,18.0,1.02,True,1591.26
Plough,1545.05,Harvest,Morning,5,3.45,18.0,0.62,True,1065.05
Harvester,4157.03,Growing,Afternoon,5,6.62,18.0,0.9,True,2589.53
Harvester,4243.18,Harvest,Evening,5,11.86,18.0,0.82,True,3376.11
Plough,1615.79,Harvest,Afternoon,3,13.15,18.0,0.92,True,740.66
Tractor,2196.14,Harvest,Afternoon,4,13.12,18.0,1.03,False,1505.78
Drone,4768.9,Off-Season,Morning,4,0.14,18.0,0.55,True,1490.73
Tractor,1815.04,Planting,Evening,5,9.41,18.0,1.37,False,2107.13
Plough,1580.48,Planting,Evening,2,5.05,18.0,1.02,True,572.65
Plough,1351.0,Off-Season,Morning,2,5.32,18.0,0.79,True,285.18
Plough,1420.08,Planting,Morning,2,4.16,18.0,1.41,True,747.45
Drone,4148.52,Planting,Morning,2,10.19,18.0,0.72,False,1042.0
Drone,4757.71,Growing,Afternoon,4,8.83,18.0,1.48,True,3793.63
Tractor,2040.32,Planting,Evening,3,9.2,18.0,0.67,False,691.72
Drone,4258.5,Harvest,Morning,5,12.57,18.0,0.73,True,3129.53
Plough,1386.1,Harvest,Evening,4,2.65,18.0,0.72,True,857.55
Tractor,2111.83,Planting,Morning,3,12.01,18.0,1.13,True,1226.21
Tractor,2007.3,Off-Season,Morning,5,14.92,18.0,0.67,True,814.79
Drone,4732.41,Harvest,Afternoon,3,14.95,18.0,1.4,True,3235.72
Harvester,4098.35,Harvest,Night,2,8.05,18.0,1.09,True,1421.49
Drone,4132.34,Off-Season,Night,2,5.87,18.0,0.77,True,638.63
Plough,1363.31,Harvest,Morning,3,12.93,18.0,1.31,True,1073.01
Tractor,2020.34,Growing,Night,4,4.22,18.0,0.75,True,773.36
Harvester,4156.57,Planting,Afternoon,5,7.44,18.0,0.58,True,1813.56
Plough,1554.98,Harvest,Afternoon,2,14.87,18.0,0.56,True,285.05
Harvester,4012.86,Harvest,Night,4,12.37,18.0,0.85,True,2057.98
Plough,1519.72,Off-Season,Evening,2,11.01,18.0,1.02,True,374.85
Tractor,1898.11,Planting,Morning,4,13.01,18.0,1.21,True,1553.88
Harvester,4157.98,Harvest,Morning,3,1.59,18.0,1.2,True,3386.77
Plough,1614.49,Harvest,Morning,2,13.08,18.0,0.53,True,341.8
Drone,4165.98,Harvest,Morning,4,3.43,18.0,1.41,True,5216.25
Harvester,4044.95,Harvest,Night,2,7.61,18.0,0.51,True,653.16
Plough,1535.08,Harvest,Afternoon,2,8.4,18.0,0.62,True,332.1
Harvester,3607.26,Harvest,Afternoon,2,11.7,18.0,0.61,True,741.46
Drone,4537.14,Growing,Evening,5,12.6,18.0,0.89,True,3000.43
Drone,4728.33,Growing,Evening,3,14.06,18.0,1.19,True,2456.39
Drone,4320.87,Harvest,Afternoon,2,11.56,18.0,1.21,True,1771.06
Tractor,1823.17,Off-Season,Evening,5,0.69,18.0,1.37,False,1684.98
Tractor,2187.55,Off-Season,Evening,5,9.71,18.0,1.09,True,1466.58
Tractor,1826.25,Planting,Afternoon,2,4.85,18.0,0.99,True,557.45
Plough,1554.99,Planting,Night,3,2.38,18.0,0.97,False,644.04
Harvester,3681.75,Harvest,Evening,2,2.45,18.0,1.29,True,2050.84
Drone,4248.69,Growing,Afternoon,3,11.59,18.0,0.73,True,1213.43
Tractor,2147.22,Growing,Morning,3,2.27,18.0,0.93,False,1038.94
Harvester,3935.78,Growing,Afternoon,4,14.47,18.0,1.26,True,2502.74
Drone,4330.76,Planting,Afternoon,3,13.41,18.0,0.73,True,1332.37
Harvester,3624.91,Planting,Evening,2,10.72,18.0,1.06,True,1283.44
Drone,4538.91,Off-Season,Morning,5,2.78,18.0,1.37,True,4275.74
Plough,1581.28,Harvest,Night,3,7.96,18.0,0.52,True,390.23
Drone,4314.75,Harvest,Morning,5,13.81,18.0,1.12,True,4777.52
Harvester,3985.22,Growing,Evening,3,8.97,18.0,1.11,True,2044.05
Plough,1517.52,Planting,Night,5,7.37,18.0,0.56,True,579.04
Harvester,3815.19,Growing,Night,5,6.5,18.0,1.48,True,3514.6
Tractor,1985.84,Harvest,Morning,3,5.89,18.0,0.98,True,1264.24
Drone,4312.5,Harvest,Evening,2,11.36,18.0,1.45,False,2449.08
Plough,1567.29,Growing,Afternoon,4,1.57,18.0,0.74,False,675.37
Drone,4178.25,Growing,Night,5,7.24,18.0,0.71,True,1827.48
Drone,4748.22,Off-Season,Evening,3,4.9,18.0,1.02,True,1870.9
Drone,4365.56,Planting,Morning,2,12.37,18.0,0.86,True,1277.87
Tractor,2190.99,Planting,Night,3,10.34,18.0,1.3,True,1119.22
Plough,1400.24,Growing,Night,2,14.27,18.0,0.62,True,198.94
Drone,4585.3,Planting,Morning,2,0.78,18.0,1.04,True,1844.76
Drone,4833.87,Planting,Evening,3,9.38,18.0,1.28,True,3146.99
Harvester,3987.52,Planting,Evening,4,13.42,18.0,1.05,True,2699.25
Harvester,3961.85,Harvest,Afternoon,4,0.61,18.0,0.66,True,2005.39
Plough,1567.45,Off-Season,Evening,5,3.71,18.0,0.66,True,675.44
Harvester,3775.37,Planting,Night,4,7.05,18.0,1.24,True,2550.36
Plough,1480.1,Harvest,Afternoon,5,7.47,18.0,1.06,True,1385.69
Drone,4255.61,Off-Season,Evening,5,8.14,18.0,0.99,True,2634.64
Drone,4412.94,Planting,Morning,2,1.08,18.0,0.53,True,902.0
Harvester,3970.1,Planting,Evening,3,14.41,18.0,0.92,True,1742.09
Plough,1538.63,Off-Season,Night,5,5.57,18.0,1.49,True,1147.78
Drone,4830.33,Harvest,Morning,5,8.82,18.0,0.53,True,2682.49
Harvester,4084.95,Harvest,Night,4,13.51,18.0,0.92,True,2247.95
Plough,1527.71,Planting,Afternoon,3,5.39,18.0,0.88,True,621.83
Drone,4802.4,Planting,Night,2,1.97,18.0,1.22,False,1671.59
Plough,1403.9,Planting,Night,5,5.59,18.0,1.01,True,979.91
Tractor,1827.65,Off-Season,Morning,2,3.71,18.0,1.37,True,683.18
Tractor,2005.93,Planting,Night,2,9.94,18.0,0.6,True,314.06
Harvester,3849.72,Off-Season,Afternoon,5,3.87,18.0,1.16,True,2525.6
Plough,1582.04,Harvest,Afternoon,5,5.95,18.0,0.74,True,1051.4
Tractor,2153.48,Harvest,Afternoon,3,2.55,18.0,1.02,True,1231.12
Drone,4796.0,Off-Season,Morning,2,6.74,18.0,1.09,False,1377.98
Harvester,3802.02,Off-Season,Afternoon,3,2.51,18.0,0.54,True,704.15
Plough,1549.14,Off-Season,Evening,2,11.73,18.0,1.21,True,447.36
Drone,4827.79,Planting,Evening,3,3.09,18.0,0.61,True,1602.6
Tractor,1822.83,Growing,Night,4,3.47,18.0,0.55,True,515.49
Harvester,3779.76,Planting,Morning,2,14.01,18.0,0.82,True,1032.98
Plough,1362.47,Growing,Night,3,5.96,18.0,0.98,True,500.0
Harvester,3613.9,Harvest,Afternoon,2,9.59,18.0,1.37,True,1714.09
Tractor,2006.24,Planting,Night,3,5.14,18.0,1.03,True,860.59
Drone,4169.44,Off-Season,Evening,5,10.57,18.0,0.7,True,1775.65
Tractor,2187.96,Planting,Night,2,10.96,18.0,0.66,True,373.32
Tractor,2185.34,Growing,Evening,4,10.39,18.0,1.34,False,1777.96
Harvester,4146.6,Harvest,Evening,3,3.66,18.0,1.33,True,3517.07
Harvester,4214.82,Planting,Afternoon,4,13.96,18.0,1.19,True,2799.47
Drone,4244.11,Off-Season,Morning,5,12.4,18.0,1.17,True,3071.65
Drone,4363.72,Planting,Afternoon,3,14.99,18.0,0.55,False,989.86
Plough,1472.07,Growing,Afternoon,5,11.29,18.0,0.59,True,568.71
Harvester,3687.29,Planting,Night,3,6.06,18.0,0.83,True,1254.93
Drone,4777.06,Off-Season,Evening,3,13.17,18.0,0.82,True,1379.96
Drone,4388.11,Planting,Evening,3,8.17,18.0,0.51,True,1140.83
Drone,4379.82,Planting,Afternoon,4,8.45,18.0,0.88,True,2291.08
Drone,4586.84,Planting,Night,5,5.6,18.0,0.73,True,2299.24
Plough,1531.03,Harvest,Night,3,9.64,18.0,1.26,True,902.01
Plough,1512.71,Off-Season,Afternoon,5,7.79,18.0,0.98,True,805.87
Drone,4357.12,Planting,Evening,5,2.23,18.0,1.03,True,4079.88
Drone,4479.03,Harvest,Afternoon,4,11.47,18.0,1.31,True,3993.13
Tractor,2182.21,Growing,Evening,2,12.34,18.0,0.93,True,604.12
Harvester,3657.02,Off-Season,Afternoon,4,3.65,18.0,1.43,True,2373.26
Drone,4890.99,Off-Season,Morning,3,2.92,18.0,0.67,True,1344.03
Plough,1506.93,Planting,Morning,3,4.61,18.0,1.3,True,1094.05
Tractor,1924.52,Off-Season,Night,5,10.76,18.0,0.9,False,820.64
Harvester,4258.54,Harvest,Evening,3,2.72,18.0,1.18,True,3237.01
Harvester,4020.13,Harvest,Morning,4,4.43,18.0,1.29,True,4573.8
Drone,4875.98,Planting,Afternoon,5,7.25,18.0,1.31,True,4791.33
Drone,4089.07,Planting,Morning,3,1.68,18.0,0.5,True,1180.16
Drone,4513.66,Harvest,Night,5,3.42,18.0,0.71,True,2678.34
Plough,1473.31,Planting,Morning,2,13.59,18.0,1.27,True,629.57
Tractor,1902.26,Growing,Night,5,4.12,18.0,1.32,True,1601.13
Drone,4650.79,Growing,Night,3,11.5,18.0,0.65,True,1064.98
Harvester,3722.39,Growing,Afternoon,2,11.05,18.0,1.36,True,1331.08
Drone,4136.14,Planting,Morning,5,4.68,18.0,0.73,True,2802.63
Drone,4624.16,Growing,Afternoon,2,5.86,18.0,1.09,True,1405.46
Harvester,4390.23,Harvest,Afternoon,4,8.96,18.0,1.18,True,3604.82
Plough,1483.74,Off-Season,Evening,2,10.39,18.0,1.49,True,538.14
Tractor,1841.64,Planting,Morning,3,5.06,18.0,1.41,True,1435.45
